governo,docEmpenho,data,fase,documento,codAcao,acao,localizador,observacao,valor,especie
estadual,EMP03GE02,,Liquidação,LIQ01EMP03GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 200 mil para 113 hospitais com mais de 50 leitos SUS,22600000.00,
estadual,EMP03GE02,,Pagamento,PAG01EMP03GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais de retaguarda - R$ 200 mil para 113 hospitais com mais de 50 leitos SUS,22600000.00,
estadual,EMP03GE11,31/05/2024,Liquidação,LIQ01EMP03GE11,GE11,Programa Volta por Cima,,3º lote:  5.531 famílias,13827500.00,
estadual,EMP03GE11,31/05/2024,Pagamento,PAG01EMP03GE11,GE11,Programa Volta por Cima,,3º lote:  5.531 famílias,13827500.00,
estadual,EMP03GE15,,Liquidação,LIQ01EMP03GE15,GE15,Outras medidas - Obras,,"Recursos para cobertura do telhado e despesas com manutenção do Vida Centro Humanístico, em Porto Alegre",1100000.00,
estadual,EMP03GE15,,Pagamento,PAG01EMP03GE15,GE15,Outras medidas - Obras,,"Recursos para cobertura do telhado e despesas com manutenção do Vida Centro Humanístico, em Porto Alegre",1100000.00,
estadual,EMP04GE02,,Liquidação,LIQ01EMP04GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais com infraestrutura atingida,5250000.00,
estadual,EMP04GE02,,Pagamento,PAG01EMP04GE02,GE02,Hospitais com infraestrutura atingida e Hospitais de retaguarda,,Hospitais com infraestrutura atingida,5250000.00,
estadual,EMP04GE11,07/06/2024,Liquidação,LIQ01EMP04GE11,GE11,Programa Volta por Cima,,"4º lote: 6.240 famílias",15600000.00,
estadual,EMP04GE11,07/06/2024,Pagamento,PAG01EMP04GE11,GE11,Programa Volta por Cima,,"4º lote: 6.240 famílias",15600000.00,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003876,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003884,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003883,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003878,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003882,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003886,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),245.45,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003881,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003888,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003877,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),245.45,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003887,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003875,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),606.53,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003885,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-245.45,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003879,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),245.45,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003891,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003880,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003892,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),256.62,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003890,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),245.45,
federal,120001000012024NE000090,13/06/2024,Liquidação,120001000012024NS003889,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SOL 24S0098 - APL: GTE (OPERACAO TAQUARI II) - PROC 67000.000445/2024-46 (DIARIA NACIONAL DO EXERCICIO),-245.45,
federal,120629000012024NE000742,12/06/2024,Liquidação,120629000012024NS008868,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,24S0762 - SC: 09.06.00. APLICACAO: SERVICO DE APOIO AO DIAGNOSTICO E TRATAMENTO. TIPO: GLOBAL,-3355.02,
federal,120629000012024NE000742,11/06/2024,Liquidação,120629000012024NS008807,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,24S0762 - SC: 09.06.00. APLICACAO: SERVICO DE APOIO AO DIAGNOSTICO E TRATAMENTO. TIPO: GLOBAL,3355.02,
federal,120629000012024NE000758,07/06/2024,Liquidação,120629000012024NS008686,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,OP TAQUARI - GAP-CO - SUPRIMENTO DE FUNDOS EM PROVEITO DO SGT BARCELOS. - MATERIAL DE CONSUMO,8000.00,
federal,120629000012024NE000759,07/06/2024,Liquidação,120629000012024NS008687,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,OP TAQUARI - GAP-CO - SUPRIMENTO DE FUNDOS EM PROVEITO DO SGT BARCELOS. SERVICOS DE TERCEIROS,8000.00,
federal,120629000012024NE000760,07/06/2024,Liquidação,120629000012024NS008693,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,GAP CO - SSG - SUPRIMENTO DE FUNDOS EM PROVEITO DO 2 SGT PESSOA - SERVICOS DE TERCEIROS.,8000.00,
federal,120629000012024NE000761,13/06/2024,Liquidação,120629000012024NS008965,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,GAP CO - SSG - SUPRIMENTO DE FUNDOS EM PROVEITO DO 2 SGT PESSOA - MATERIAL DE CONSUMO,8000.00,
federal,120629000012024NE000762,12/06/2024,Liquidação,120629000012024NS008891,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,24S0810  MATERIAL DESTINADO A OPERACAO TAQUARI SUBCENTRO DE CUSTOS E114704 EMP GLOBAL RESP SGT THAMIRYS TEL 51 3462 1250 PREGAO 119 2023 ATA 55 2024 VIGENCIA 01 03 2025,24120.00,
federal,120629000012024NE000792,11/06/2024,Liquidação,120629000012024NS008829,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SUPRIMENTO DE FUNDOS EM PROVEITO DA SGT GADELHA - MATERIAL DE CONSUMO,3000.00,
federal,120629000012024NE000793,11/06/2024,Liquidação,120629000012024NS008828,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,21H26500,SUPRIMENTO DE FUNDOS EM PROVEITO DA SGT GADELHA - SERVICOS DE TERCEIROS.,3000.00,
federal,135100222112024NE001442,12/06/2024,Liquidação,135100222112024NS025677,2792,Distribuição de Alimentos a Grupos Populacionais Tradicionais e Específicos e a Famílias em Situação de Insegurança Alimentar e Nutricional Advindas de Situações de Emergência ou Calamidade Pública,27926502,"PROCESSO SEI 21200.001503/2024-00 - DESPACHO GEROP 35577168 - VALOR QUE SE EMPENHA PARA PAGAMENTO DE COMISSAO DE BOLSA NACIONAL DE MERCADORIAS - BNM, REFERENTE AO AVISO 041 DE 20/05/2024 - AVISO DE COMPRA DE CESTA DE ALIMENTOS ? MDS, CONFORME PROCESSO SEI 21200.003490/2024-03 E GP SUOPE/GEROP 37 (35574462).",45375.39,
federal,151895264362024NE000076,13/06/2024,Liquidação,151895264362024NS000668,20RL,"Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",20RL6500,EMPENHO IN.01/2023. CT01/2023. CONTRAT.PREST.SERV.FORNECIMENTO DE ENERGIA ELETRICA PREDIO ADMINISTRATIVO DO CAMPUS CAVG - 2024. CONF. DESPACHO 526291. PROCESSO 23341.000754.2024-80.,22019.62,
federal,151895264362024NE000077,11/06/2024,Liquidação,151895264362024NS000660,20RL,"Funcionamento das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica",20RL6500,SERVICO DE FORNECIMENTO DE AGUA PARA O CAMPUS CAVG - REF. 2024. CONFORME DESPACHO 526291. PROC.23341.000754.2024-80.,19078.70,
federal,153173152532024NE400416,24/05/2024,Liquidação,153173152532024NS017829,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - AEE,439715.20,
federal,153173152532024NE400417,24/05/2024,Liquidação,153173152532024NS017887,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR -ENSINO FUNDAMENTAL,6784863.40,
federal,153173152532024NE400418,24/05/2024,Liquidação,153173152532024NS017833,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - PRE-ESCOLA.,3187124.00,
federal,153173152532024NE400419,24/05/2024,Liquidação,153173152532024NS017835,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - EJA,212006.40,
federal,153173152532024NE400420,24/05/2024,Liquidação,153173152532024NS017839,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - INDIGENA,8759.20,
federal,153173152532024NE400421,24/05/2024,Liquidação,153173152532024NS017837,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - QUILOMBOLA,87300.20,
federal,153173152532024NE400422,24/05/2024,Liquidação,153173152532024NS017885,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - CRECHE,3897211.60,
federal,153173152532024NE400423,24/05/2024,Liquidação,153173152532024NS017848,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - ENSINO MEDIO,77018.00,
federal,153173152532024NE400424,24/05/2024,Liquidação,153173152532024NS017841,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - INDIGENA,82800.20,
federal,153173152532024NE400425,24/05/2024,Liquidação,153173152532024NS017854,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - PRE-ESCOLA.,7445.80,
federal,153173152532024NE400426,24/05/2024,Liquidação,153173152532024NS017857,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO ESCOLAR - 2024 - ALIMENTACAO ESCOLAR - ENSINO MEDIO INTEGRAL,52275.80,
federal,153173152532024NE400426,24/05/2024,Liquidação,153173152532024NS017856,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO ESCOLAR - 2024 - ALIMENTACAO ESCOLAR - ENSINO MEDIO INTEGRAL,-52275.80,
federal,153173152532024NE400426,24/05/2024,Liquidação,153173152532024NS017847,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO ESCOLAR - 2024 - ALIMENTACAO ESCOLAR - ENSINO MEDIO INTEGRAL,52275.80,
federal,153173152532024NE400427,24/05/2024,Liquidação,153173152532024NS017827,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO  ESCOLAR  -  2024  -  PNAE  - ALIMENTACAO ESCOLAR - QUILOMBOLA,4024.80,
federal,153173152532024NE400428,24/05/2024,Liquidação,153173152532024NS017831,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - EJA,234343.60,
federal,153173152532024NE400429,24/05/2024,Liquidação,153173152532024NS017891,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - ENSINO MEDIO,2761289.40,
federal,153173152532024NE400430,24/05/2024,Liquidação,153173152532024NS017845,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - CRECHE,2164.60,
federal,153173152532024NE400431,24/05/2024,Liquidação,153173152532024NS017843,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE LOA - ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR - AEE,179452.00,
federal,153173152532024NE400432,24/05/2024,Liquidação,153173152532024NS017889,00PI,Apoio à Alimentação Escolar na Educação Básica (PNAE),00PI6501,FNDE  LOA  -  ALIMENTACAO ESCOLAR - 2024 - PNAE - ALIMENTACAO ESCOLAR -ENSINO FUNDAMENTAL,3815193.80,
federal,153173152532024NE500322,07/06/2024,Liquidação,153173152532024NS019930,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,53200.00,
federal,153173152532024NE500322,29/05/2024,Liquidação,153173152532024NS018418,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,15200.00,
federal,153173152532024NE500322,29/05/2024,Liquidação,153173152532024NS018346,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,1352800.00,
federal,153173152532024NE500322,05/06/2024,Liquidação,153173152532024NS019676,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,326800.00,
federal,153173152532024NE500322,04/06/2024,Liquidação,153173152532024NS019438,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,38000.00,
federal,153173152532024NE500322,11/06/2024,Liquidação,153173152532024NS020384,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE / REFORCO LOA - PDDE - 2024 - PDDE - EMERGENCIAL RS - PRIMEIRA INF.NCIA,7600.00,
federal,153173152532024NE500323,07/06/2024,Liquidação,153173152532024NS019927,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE LOA - PDDE - 2024 - PDDE - EMERGENCIAL - RS,349600.00,
federal,153173152532024NE500323,05/06/2024,Liquidação,153173152532024NS019678,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE LOA - PDDE - 2024 - PDDE - EMERGENCIAL - RS,2363600.00,
federal,153173152532024NE500323,11/06/2024,Liquidação,153173152532024NS020380,0515,Dinheiro Direto na Escola para a Educação Básica,05156501,FNDE LOA - PDDE - 2024 - PDDE - EMERGENCIAL - RS,7600.00,
